,hp,chp,boiler,pv,supply_config,hr_mode,T_dhw_sp,hwt_volume,costs,co2
135,Air_30kW,150000.0,0.0,25000,3-runner,on,65,10000,3575349.0,511.3
136,Air_30kW,150000.0,0.0,50000,2-runner,on,65,10000,3208102.0,503.5
137,Air_40kW,0.0,200000.0,25000,3-runner,on,55,15000,3304736.0,201.3
138,Air_40kW,0.0,400000.0,25000,2-runner,off,65,20000,2945256.0,201.7
139,Air_40kW,0.0,400000.0,75000,3-runner,on,65,20000,3410116.0,198.7
140,Air_40kW,0.0,400000.0,75000,3-runner,on,55,20000,3409933.0,193.7
141,Air_40kW,50000.0,0.0,75000,2-runner,off,55,10000,3030806.0,226.7
142,Air_30kW,50000.0,200000.0,50000,3-runner,on,60,15000,3431532.0,223.1
143,Air_30kW,150000.0,200000.0,50000,2-runner,off,60,15000,3229673.0,269.0
144,Air_60kW,50000.0,200000.0,25000,2-runner,off,60,15000,3019997.0,264.3
145,Air_60kW,50000.0,200000.0,75000,2-runner,off,60,15000,3085497.0,264.3
146,Air_60kW,100000.0,200000.0,50000,2-runner,on,60,15000,3160106.0,380.9
147,Air_60kW,150000.0,200000.0,50000,3-runner,on,60,20000,3655810.0,311.7
148,Air_60kW,0.0,300000.0,25000,3-runner,off,60,15000,3339181.0,256.3
149,Air_40kW,0.0,300000.0,25000,2-runner,on,55,20000,2924739.0,190.6
150,Air_30kW,0.0,400000.0,25000,2-runner,on,65,10000,2937311.0,206.1
151,Air_30kW,0.0,400000.0,25000,2-runner,on,65,20000,2937182.0,203.7
152,Air_30kW,50000.0,200000.0,25000,3-runner,off,65,10000,3399745.0,285.0
153,Air_30kW,50000.0,400000.0,25000,2-runner,on,55,20000,3038153.0,208.1
154,Air_30kW,50000.0,400000.0,75000,2-runner,on,55,20000,3103653.0,208.1
155,Air_30kW,150000.0,0.0,25000,2-runner,on,65,20000,3175549.0,509.3
156,Air_60kW,50000.0,400000.0,75000,3-runner,on,60,15000,3525537.0,258.3
157,Air_30kW,100000.0,400000.0,75000,3-runner,off,60,10000,3603037.0,253.9
158,Air_40kW,150000.0,200000.0,25000,2-runner,on,55,20000,3206347.0,200.5
159,Air_30kW,150000.0,400000.0,25000,2-runner,on,65,15000,3255537.0,509.0
160,Air_30kW,150000.0,400000.0,75000,2-runner,on,65,15000,3321037.0,509.0
161,Air_60kW,0.0,400000.0,50000,2-runner,off,60,10000,2992049.0,252.0
162,Air_60kW,150000.0,400000.0,50000,2-runner,on,55,15000,3292569.0,243.5
163,Air_60kW,150000.0,400000.0,50000,3-runner,off,60,20000,3692318.0,297.4
164,Air_60kW,150000.0,400000.0,75000,2-runner,off,60,15000,3324721.0,271.5
165,Air_60kW,50000.0,0.0,25000,3-runner,off,60,20000,,
166,Air_40kW,150000.0,0.0,50000,2-runner,off,60,15000,3196993.0,380.8
167,Air_60kW,0.0,200000.0,25000,2-runner,on,60,10000,2919042.0,236.0
168,Air_60kW,50000.0,0.0,25000,2-runner,on,60,20000,2979851.0,244.8
169,Air_40kW,50000.0,0.0,50000,3-runner,on,60,15000,,
170,Air_40kW,50000.0,0.0,50000,3-runner,off,65,15000,,
171,Air_60kW,50000.0,0.0,50000,2-runner,on,55,10000,3012416.0,240.2
172,Air_60kW,50000.0,0.0,75000,2-runner,on,65,15000,3049388.0,315.2
173,Air_60kW,50000.0,0.0,75000,2-runner,on,55,20000,3045206.0,243.9
174,Air_30kW,50000.0,300000.0,50000,3-runner,off,60,20000,3451058.0,244.2
175,Air_30kW,100000.0,200000.0,75000,2-runner,on,55,15000,3163429.0,209.3
176,Air_60kW,0.0,300000.0,50000,3-runner,on,60,10000,3371764.0,243.7
177,Air_60kW,50000.0,300000.0,50000,2-runner,off,65,20000,3074998.0,322.1
178,Air_60kW,50000.0,300000.0,50000,3-runner,on,65,20000,3476483.0,326.1
179,Air_60kW,50000.0,400000.0,25000,3-runner,on,55,15000,3459888.0,255.7
180,Air_40kW,50000.0,400000.0,50000,3-runner,off,60,15000,3478756.0,242.7
181,Air_60kW,100000.0,200000.0,25000,3-runner,on,65,15000,3529676.0,427.7
182,Air_30kW,100000.0,300000.0,25000,2-runner,off,60,20000,3117103.0,238.0
183,Air_60kW,100000.0,300000.0,50000,2-runner,off,55,15000,3172175.0,265.0
184,Air_30kW,50000.0,300000.0,50000,2-runner,on,60,10000,3051329.0,212.5
185,Air_30kW,0.0,400000.0,75000,3-runner,on,55,20000,3402499.0,203.1
186,Air_60kW,100000.0,200000.0,25000,3-runner,off,55,10000,3519339.0,264.8
187,Air_60kW,100000.0,300000.0,75000,3-runner,on,65,10000,3614962.0,423.5
188,Air_40kW,150000.0,0.0,25000,3-runner,off,65,10000,3564726.0,504.7
189,Air_40kW,150000.0,300000.0,25000,2-runner,on,65,15000,3243086.0,495.5
190,Air_30kW,0.0,200000.0,25000,2-runner,off,65,20000,2897366.0,204.2
191,Air_30kW,0.0,200000.0,25000,3-runner,on,65,10000,3297024.0,202.2
192,Air_30kW,0.0,200000.0,75000,2-runner,off,55,20000,2962592.0,216.2
193,Air_30kW,0.0,200000.0,25000,3-runner,on,65,20000,3296953.0,201.5
194,Air_30kW,0.0,400000.0,50000,3-runner,off,55,10000,3369930.0,220.6
195,Air_30kW,50000.0,0.0,25000,2-runner,on,55,15000,2958213.0,202.1
196,Air_30kW,150000.0,0.0,75000,2-runner,off,65,10000,3223649.0,503.5
197,Air_60kW,150000.0,400000.0,50000,3-runner,on,60,15000,3708880.0,552.6
198,Air_40kW,0.0,200000.0,50000,2-runner,on,60,15000,2937309.0,187.6
199,Air_40kW,0.0,200000.0,50000,3-runner,off,55,20000,3337403.0,205.5
200,Air_40kW,0.0,400000.0,50000,2-runner,on,65,20000,2977627.0,193.4
201,Air_40kW,0.0,200000.0,75000,3-runner,on,55,15000,3370236.0,201.3
202,Air_40kW,150000.0,0.0,25000,2-runner,on,60,10000,3179188.0,432.1
203,Air_40kW,150000.0,0.0,25000,3-runner,off,55,20000,3563491.0,236.2
204,Air_40kW,150000.0,0.0,50000,3-runner,off,55,10000,3596244.0,233.1
205,Air_40kW,150000.0,400000.0,75000,3-runner,on,55,10000,3712026.0,212.3
206,Air_30kW,0.0,200000.0,50000,2-runner,off,60,15000,2930124.0,209.9
207,Air_30kW,50000.0,0.0,50000,3-runner,off,55,15000,,
208,Air_30kW,0.0,200000.0,75000,3-runner,off,60,15000,3362769.0,211.5
209,Air_30kW,0.0,400000.0,25000,3-runner,on,55,20000,3336999.0,203.1
210,Air_30kW,50000.0,0.0,50000,2-runner,on,65,20000,2994953.0,272.4
211,Air_30kW,50000.0,400000.0,25000,3-runner,off,65,15000,3439920.0,291.5
212,Air_30kW,50000.0,400000.0,50000,2-runner,off,55,20000,3070676.0,238.2
213,Air_30kW,100000.0,0.0,25000,2-runner,off,60,10000,3057077.0,235.0
214,Air_30kW,150000.0,200000.0,25000,3-runner,on,55,15000,3599064.0,222.7
215,Air_30kW,150000.0,200000.0,50000,3-runner,off,65,10000,3630810.0,514.7
216,Air_60kW,50000.0,0.0,75000,3-runner,off,60,20000,,
217,Air_30kW,150000.0,200000.0,75000,3-runner,on,60,15000,3678972.0,487.3
218,Air_60kW,0.0,200000.0,50000,3-runner,off,60,10000,3351879.0,252.7
219,Air_60kW,50000.0,0.0,75000,3-runner,on,65,15000,3449194.0,321.1
220,Air_60kW,50000.0,200000.0,25000,3-runner,on,60,20000,3419914.0,255.9
221,Air_60kW,50000.0,200000.0,50000,2-runner,on,65,10000,3056602.0,314.9
222,Air_60kW,50000.0,200000.0,50000,3-runner,off,65,20000,3454782.0,327.3
223,Air_60kW,50000.0,400000.0,25000,2-runner,on,65,15000,3063950.0,318.1
