Time,AirTemperature,WindSpeed,GlobalRadiation,DirectNormalRad,DiffRadiation
25.01. 03:00,1,3.3,0,0,312
25.01. 04:00,1,3.6,0,0,310
25.01. 05:00,1,4.1,0,0,307
25.01. 06:00,1,3.6,0,0,302
25.01. 07:00,1,3.1,0,0,307
25.01. 08:00,1,5.1,43,52,301
25.01. 09:00,1,4.6,102,96,296
25.01. 10:00,2,5.1,166,175,281
25.01. 11:00,2,7.2,200,202,290
25.01. 12:00,3,7.2,185,130,290
25.01. 13:00,4,6.2,130,70,288
25.01. 14:00,4,5.7,70,23,284
25.01. 15:00,3,4.6,33,14,298
25.01. 16:00,3,6.7,5,3,295
25.01. 17:00,2,6.7,0,0,300
25.01. 18:00,2,5.7,0,0,279
25.01. 19:00,1,7.2,0,0,289
25.01. 20:00,1,6.2,0,0,300
25.01. 21:00,2,7.2,0,0,289
25.01. 22:00,2,6.7,0,0,310
25.01. 23:00,2,5.1,0,0,309
26.01. 00:00,1.8,5,0,0,309
26.01. 01:00,1.6,4.9,0,0,296
26.01. 02:00,1.4,4.8,0,0,312
26.01. 03:00,1.2,4.7,0,0,313
26.01. 04:00,1,4.6,0,0,314
26.01. 05:00,2,4.6,0,0,313
26.01. 06:00,2,4.1,0,0,312
26.01. 07:00,3,6.2,0,0,314
26.01. 08:00,3,5.7,24,20,313
26.01. 09:00,3,6.2,62,42,304
26.01. 10:00,2,5.7,81,29,302
26.01. 11:00,2,6.2,87,20,303
26.01. 12:00,3,5.1,80,14,311
26.01. 13:00,3,3.6,70,2,316
26.01. 14:00,3,4.1,55,3,318
26.01. 15:00,3,2.1,25,1,320
26.01. 16:00,3,1.5,6,0,319
26.01. 17:00,3,2.1,0,0,317
26.01. 18:00,3,1,0,0,318
26.01. 19:00,3,1,0,0,318
26.01. 20:00,2,1.5,0,0,318
26.01. 21:00,2,1.5,0,0,315
26.01. 22:00,2,2.1,0,0,313
26.01. 23:00,2,2.6,0,0,296
27.01. 00:00,2,3.1,0,0,287
27.01. 01:00,2,3.6,0,0,281
27.01. 02:00,1.7,3.8,0,0,278
27.01. 03:00,1.3,3.9,0,0,272
27.01. 04:00,1,4.1,0,0,292
27.01. 05:00,1,4.1,0,0,294
27.01. 06:00,1,4.6,0,0,282
27.01. 07:00,1,6.2,0,0,285
27.01. 08:00,1,6.2,49,53,276
27.01. 09:00,1,6.2,128,159,272
27.01. 10:00,1,6.2,198,201,280
27.01. 11:00,2,5.7,215,155,277
27.01. 12:00,2,5.7,204,118,277
27.01. 13:00,2,5.1,183,140,302
27.01. 14:00,2,6.2,142,156,303
27.01. 15:00,2,6.2,84,149,271
27.01. 16:00,2,7.2,24,76,265
27.01. 17:00,1,7.2,0,0,261
27.01. 18:00,1,7.2,0,0,266
27.01. 19:00,0,6.7,0,0,282
27.01. 20:00,0,7.2,0,0,274
27.01. 21:00,0,6.7,0,0,263
27.01. 22:00,0,8.2,0,0,272
27.01. 23:00,0,8,0,0,262
28.01. 00:00,0,7.9,0,0,266
28.01. 01:00,0,7.7,0,0,258
28.01. 02:00,0,7.5,0,0,257
28.01. 03:00,0,7.4,0,0,250
